threshold_percentile,threshold,normal_test_tubelets,false_alarm_tubelets_before_persistence,false_alarm_rate_before_persistence,false_alarm_events_after_persistence,normal_test_videos,normal_test_tracks
99.5,14.5168879100055,5759,50,0.008682062858135093,6,7,569
99.7,16.30177521856949,5759,13,0.002257336343115124,1,7,569
