tubelet_id,video_id,track_id,video_path,start_frame,end_frame,start_time_sec,end_time_sec,source_fps,effective_sample_fps,split,macro_speed_mean_mps,macro_speed_median_mps,macro_speed_p95_mps,macro_accel_p95_mps2,macro_straightness_ratio,macro_direction_change_mean_rad,macro_stationary_step_ratio,macro_score_raw,macro_score_smooth,macro_gate_hit
homography_macro__20260315_130536_tp00036.mp4__track155__t2208_2298__00002385,20260315_130536_tp00036.mp4,155,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,2208,2298,154.55679236064847,160.85666161447924,14.286010768441496,2.381001794740249,normal_test,0.5371564,0.50286806,1.2276775,2.8909419,0.2560234,1.1470655,0.13333334,13.827418769383831,13.494266890695545,False
homography_macro__20260329_140358_tp00074.mp4__track1544__t42624_42732__00018266,20260329_140358_tp00074.mp4,1544,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,42624,42732,2983.681188486339,2991.2411914977065,14.28570859530194,2.380951432550323,normal_test,0.6479873,0.5388161,1.2859744,3.9630451,0.19811863,0.68774325,0.06666667,17.79986858095238,13.32307137353418,False
homography_macro__20260315_130536_tp00036.mp4__track155__t2160_2250__00002380,20260315_130536_tp00036.mp4,155,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,2160,2250,151.1968620919387,157.4967313457695,14.286010768441496,2.381001794740249,normal_test,0.75507045,0.8394458,1.6262114,2.7468708,0.018848293,1.1197473,0.06666667,18.495106235550498,13.303628700101232,False
homography_macro__20260315_130536_tp00036.mp4__track4339__t25632_25722__00003258,20260315_130536_tp00036.mp4,4339,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,25632,25722,1794.202763491006,1800.5026327448368,14.286010768441496,2.381001794740249,normal_test,0.18266863,0.111488074,0.6262097,1.6736833,0.43833652,1.6340644,0.4,15.825241280143791,13.261977932060223,False
homography_macro__20260329_140358_tp00074.mp4__track1544__t42576_42678__00018264,20260329_140358_tp00074.mp4,1544,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,42576,42678,2980.321187147954,2987.461189992023,14.28570859530194,2.380951432550323,normal_test,0.6655779,0.57473713,1.2552798,4.669319,0.2563678,0.89661556,0.06666667,22.081399999425674,13.241018185426801,False
homography_macro__20260317_101644_tp00048.mp4__track2363__t59712_59802__00009851,20260317_101644_tp00048.mp4,2363,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,59712,59802,4179.822095482631,4186.122068496321,14.2857754794239,2.3809625799039837,normal_test,0.23859209,0.21746565,0.52251613,0.71139336,0.9299759,0.39200473,0.06666667,9.4200829898095,13.169994375272566,False
homography_macro__20260315_104219_tp00035.mp4__track2429__t29136_29226__00002251,20260315_104219_tp00035.mp4,2429,D:\Embeddings_Distribution\raw_videos\20260315_104219_tp00035.mp4,29136,29226,2039.521203783678,2045.82120750212,14.28570585387761,2.380950975646269,normal_test,0.7330021,0.79234004,1.3718957,3.0810037,0.45541766,0.64426583,0.0,15.144273723823366,13.150384810369637,False
homography_macro__20260331_083223_tp00084.mp4__track87__t2544_2640__00023427,20260331_083223_tp00084.mp4,87,D:\Embeddings_Distribution\raw_videos\20260331_083223_tp00084.mp4,2544,2640,178.07610569702808,184.79595874219893,14.28602669651966,2.3810044494199434,normal_test,0.63237524,0.6150852,1.2614652,1.2603239,0.48347637,0.28531826,0.0,14.284102668270103,13.137807953376605,False
homography_macro__20260316_124453_tp00043.mp4__track10245__t54432_54522__00007728,20260316_124453_tp00043.mp4,10245,D:\Embeddings_Distribution\raw_videos\20260316_124453_tp00043.mp4,54432,54522,3810.2235287671233,3816.5235015329417,14.2857760414945,2.3809626735824168,normal_test,0.6758864,0.34856245,1.9277948,2.889854,0.91669947,0.6810946,0.4,14.585996235735506,13.046533462659989,False
homography_macro__20260315_130536_tp00036.mp4__track4532__t26448_26538__00003296,20260315_130536_tp00036.mp4,4532,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,26448,26538,1851.321578059072,1857.6214473129023,14.286010768441496,2.381001794740249,normal_test,0.33035523,0.15065397,0.93141925,1.4475211,0.95774776,0.67010003,0.13333334,14.733158595099237,13.033750932257849,False
homography_macro__20260329_140358_tp00074.mp4__track1059__t29136_29226__00017796,20260329_140358_tp00074.mp4,1059,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,29136,29226,2039.520812400009,2045.8208149094817,14.28570859530194,2.380951432550323,normal_test,0.07522066,0.011596625,0.23772779,0.3872833,0.13620709,0.869446,0.6,7.179420990535496,12.91926997542875,False
homography_macro__20260315_130536_tp00036.mp4__track155__t2256_2364__00002391,20260315_130536_tp00036.mp4,155,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,2256,2364,157.91672262935822,165.47656573395514,14.286010768441496,2.381001794740249,normal_test,0.49501422,0.42648026,1.4209591,3.3561122,0.0035206412,0.74418837,0.13333334,17.71998909500452,12.892385084954327,False
homography_macro__20260315_130536_tp00036.mp4__track1604__t8784_8880__00002626,20260315_130536_tp00036.mp4,1604,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,8784,8880,614.8672391738841,621.5870997113036,14.286010768441496,2.381001794740249,normal_test,0.64822286,0.7383241,1.0339209,1.8331369,0.9321108,0.60816157,0.06666667,16.844269680846814,12.8802229550368,False
homography_macro__20260329_140358_tp00074.mp4__track635__t19296_19386__00017656,20260329_140358_tp00074.mp4,635,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19296,19386,1350.720538030978,1357.0205405404506,14.28570859530194,2.380951432550323,normal_test,0.02400919,0.0015417578,0.0941317,0.24153763,0.7578803,1.3150195,0.8,3.0477015095444453,12.727904887598822,False
homography_macro__20260315_104219_tp00035.mp4__track2429__t29088_29178__00002249,20260315_104219_tp00035.mp4,2429,D:\Embeddings_Distribution\raw_videos\20260315_104219_tp00035.mp4,29088,29178,2036.161201800509,2042.461205518951,14.28570585387761,2.380950975646269,normal_test,0.9515145,0.9088597,1.8625954,3.6059651,0.73847824,0.41818106,0.0,11.577715167434686,12.688018465712737,False
homography_macro__20260329_140358_tp00074.mp4__track697__t19968_20058__00017668,20260329_140358_tp00074.mp4,697,D:\Embeddings_Distribution\raw_videos\20260329_140358_tp00074.mp4,19968,20058,1397.7605567683752,1404.060559277848,14.28570859530194,2.380951432550323,normal_test,0.6799344,0.04953957,2.7764268,2.291846,0.30431265,1.6914815,0.5,44.32356150270407,12.673943292087706,False
homography_macro__20260315_130536_tp00036.mp4__track2198__t13056_13146__00002810,20260315_130536_tp00036.mp4,2198,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,13056,13146,913.9010330890518,920.2009023428824,14.286010768441496,2.381001794740249,normal_test,0.3005675,0.25731248,0.54879177,1.7855966,0.23712678,0.7696842,0.0,13.905197409010633,12.66836147865606,False
homography_macro__20260317_101644_tp00048.mp4__track2336__t59472_59562__00009845,20260317_101644_tp00048.mp4,2336,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,59472,59562,4163.022167446125,4169.322140459815,14.2857754794239,2.3809625799039837,normal_test,0.5449492,0.22837678,1.5086528,2.4104822,0.9438142,0.45572618,0.46666667,15.723176494089218,12.65413326034806,False
homography_macro__20260315_130536_tp00036.mp4__track215__t2544_2634__00002404,20260315_130536_tp00036.mp4,215,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,2544,2634,178.0763042416167,184.3761734954475,14.286010768441496,2.381001794740249,normal_test,1.3028327,1.2887223,2.5214758,4.6275854,0.8504317,0.47675842,0.0,17.169296918921972,12.641297651529388,False
homography_macro__20260315_130536_tp00036.mp4__track3722__t23424_23514__00003195,20260315_130536_tp00036.mp4,3722,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,23424,23514,1639.6459711303576,1645.9458403841884,14.286010768441496,2.381001794740249,normal_test,0.20493966,0.110171154,0.78866744,1.569004,0.5777386,1.0454931,0.4,13.056298790321975,12.5725772050172,False
homography_macro__20260315_130536_tp00036.mp4__track6566__t39216_39312__00003480,20260315_130536_tp00036.mp4,6566,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,39216,39312,2745.063029535865,2751.7828900732843,14.286010768441496,2.381001794740249,normal_test,0.07233183,0.06456564,0.1684723,0.33346626,0.2621573,1.450219,0.46666667,7.21524168722144,12.569914534303866,False
homography_macro__20260315_130536_tp00036.mp4__track155__t2112_2202__00002375,20260315_130536_tp00036.mp4,155,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,2112,2202,147.83693182322895,154.13680107705974,14.286010768441496,2.381001794740249,normal_test,0.36356094,0.053616375,1.4494355,3.4843397,0.019005599,1.2496785,0.4,15.472931103047229,12.567838456163155,False
homography_macro__20260315_130536_tp00036.mp4__track6646__t40320_40410__00003545,20260315_130536_tp00036.mp4,6646,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,40320,40410,2822.3414257161894,2828.64129497002,14.286010768441496,2.381001794740249,normal_test,0.651301,0.26873332,1.7882317,1.3863423,0.94600666,0.64700156,0.33333334,18.86530325997981,12.52487320797718,False
homography_macro__20260315_130536_tp00036.mp4__track7280__t47616_47766__00003627,20260315_130536_tp00036.mp4,7280,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,47616,47766,3333.050826560071,3343.550608649789,14.286010768441496,2.381001794740249,normal_test,0.13140969,0.084986,0.41019487,1.0937278,0.30922368,0.5845133,0.13333334,13.959197622443696,12.50891932671479,False
homography_macro__20260315_130536_tp00036.mp4__track6961__t43104_43230__00003591,20260315_130536_tp00036.mp4,6961,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,43104,43230,3017.217381301354,3026.0371982567176,14.286010768441496,2.381001794740249,normal_test,0.21724907,0.026920553,0.8621367,2.2574043,0.71151584,0.6092818,0.53333336,13.415515084688634,12.459991084433476,False
