tubelet_id,video_path,video_id,track_id,start_frame,end_frame,start_time_sec,end_time_sec,clip_span_sec,clip_duration_sec,mean_conf,min_conf,mean_bbox_area_ratio,mean_iou,max_center_jump_ratio,split,deep_knn_score_k1,deep_knn_score_k3,deep_knn_score_k5,deep_knn_score_k10,deep_knn_score_k20,deep_knn_score_k1_gauss_s1_0,deep_knn_score_k1_gauss_s2_0,deep_knn_score_k1_gauss_s3_0,deep_knn_score_k3_gauss_s1_0,deep_knn_score_k3_gauss_s2_0,deep_knn_score_k3_gauss_s3_0,deep_knn_score_k5_gauss_s1_0,deep_knn_score_k5_gauss_s2_0,deep_knn_score_k5_gauss_s3_0,deep_knn_score_k10_gauss_s1_0,deep_knn_score_k10_gauss_s2_0,deep_knn_score_k10_gauss_s3_0,deep_knn_score_k20_gauss_s1_0,deep_knn_score_k20_gauss_s2_0,deep_knn_score_k20_gauss_s3_0
homography_macro__20260315_130536_tp00036.mp4__track100__t1008_1098__00002278,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,100,1008,1098,70.55853564290473,76.85840489673551,6.299869253830778,6.299869253830778,0.7510643266141415,0.6667391657829285,0.0146895128584995,0.8470354084379118,0.2835344160951181,normal_test,0.20988887548446655,0.21622534096240997,0.21890683472156525,0.22219666838645935,0.22539682686328888,0.20988887548446655,0.20988887548446655,0.20988887548446655,0.21622534096240997,0.21622534096240997,0.21622534096240997,0.21890683472156525,0.21890683472156525,0.21890683472156525,0.22219666838645935,0.22219666838645935,0.22219666838645935,0.22539682686328888,0.22539682686328888,0.22539682686328888
homography_macro__20260315_130536_tp00036.mp4__track6633__t39984_40086__00003523,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6633,39984,40086,2798.821913835221,2805.961765656229,7.139851821008051,7.139851821008051,0.6250341702252626,0.4655595421791076,0.0073479901918416,0.7534320507639417,0.3173758815216802,normal_test,0.2057289183139801,0.2092597931623459,0.21092315018177032,0.2158108502626419,0.22170725464820862,0.17840672897879306,0.15636798302512028,0.14385223828031618,0.18264026660283217,0.16097174153267424,0.1483417436193741,0.18478110899444636,0.16310628433898205,0.15052697322490705,0.1889934883439194,0.16697654316043162,0.15432760370829038,0.194279664615573,0.17209855905600752,0.15943185031421803
homography_macro__20260315_130536_tp00036.mp4__track6620__t39936_40038__00003520,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6620,39936,40038,2795.461983566511,2802.6018353875197,7.139851821008051,7.139851821008051,0.6487143449485302,0.3962295651435852,0.0129215344860218,0.8582964628303615,0.2472347080567504,normal_test,0.17340759932994843,0.17442333698272705,0.17514227330684662,0.17673511803150177,0.18042345345020294,0.14060001316070686,0.12046921409566297,0.1115935879099802,0.14235326342312593,0.12325464430454718,0.1155310844556089,0.14377275548576418,0.12534381295089211,0.11796967769244182,0.14627197168437675,0.1285968479551687,0.12177032663798619,0.1509619598020253,0.13344644686618345,0.12700737871780965
homography_macro__20260315_130536_tp00036.mp4__track6633__t40128_40218__00003532,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6633,40128,40218,2808.90170464135,2815.201573895181,6.2998692538308205,6.2998692538308205,0.7153300270438194,0.5702341794967651,0.0106907815456022,0.9414123380277354,0.0961317450904912,normal_test,0.1691257655620575,0.1717694252729416,0.17320311069488525,0.17598018050193787,0.18145060539245605,0.15649165388978997,0.1406947438472546,0.1331166271707782,0.1602505519381574,0.14450000792448145,0.13694800728310713,0.16214208538217223,0.14697678232042966,0.13972861395595831,0.16596461824292125,0.15167264754585286,0.14490363205733586,0.17217806384755996,0.15834245138413178,0.15176296631384092
homography_macro__20260317_101644_tp00048.mp4__track1511__t44352_44442__00009610,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1511,44352,44442,3104.6267011462637,3110.9266741599527,6.299973013689396,6.299973013689396,0.5647127740085125,0.33930703997612,0.0047629192033439,0.8688646932971567,0.0428755292204237,normal_test,0.1412978321313858,0.16011078655719757,0.1676364541053772,0.1753760129213333,0.1818893998861313,0.12088485693758769,0.11307451815514688,0.11328498624616012,0.13233189473788387,0.12151030771664169,0.12102526073903444,0.13719158176187773,0.12525349406858113,0.12460807349303399,0.14267403064627332,0.12975513222088603,0.12897532930126704,0.1477066946278079,0.1341476616924625,0.13334991168988347
homography_macro__20260317_101644_tp00048.mp4__track1501__t44160_44250__00009604,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1501,44160,44250,3091.186758717058,3097.486731730748,6.299973013689396,6.299973013689396,0.484241483733058,0.384378969669342,0.0053152120612675,0.9569114494319968,0.0140192389192799,normal_test,0.15211358666419983,0.1626400351524353,0.16728417575359344,0.1721930056810379,0.17711466550827026,0.12692910226724358,0.11984887682830095,0.11832188363107249,0.13413769055440253,0.1256852351316313,0.1236683058501019,0.1382085634163359,0.12922103471404747,0.12701451388942508,0.1428259401004014,0.13330593394677767,0.1310031211655401,0.1478980480057494,0.13824088499341594,0.13585674227332833
homography_macro__20260317_101644_tp00048.mp4__track1501__t44208_44298__00009606,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1501,44208,44298,3094.54674432436,3100.846717338049,6.299973013689851,6.299973013689851,0.5414861161261797,0.4474260210990906,0.0053619664051046,0.9142563081353424,0.0547752002845787,normal_test,0.1457214206457138,0.1601407527923584,0.16707123816013336,0.1747126430273056,0.1809188425540924,0.12994941415635441,0.12527175500858473,0.12229810792916537,0.1396853293169553,0.13331826010597933,0.12935998380941938,0.14444889813959252,0.1374722553862341,0.13319182470980698,0.1500895762086345,0.14242655268423426,0.13778390315070219,0.15543539955479468,0.14754469082888771,0.14280034906568645
homography_macro__20260316_124453_tp00043.mp4__track1177__t9408_9510__00006709,D:\Embeddings_Distribution\raw_videos\20260316_124453_tp00043.mp4,20260316_124453_tp00043.mp4,1177,9408,9510,658.5571531202435,665.697122254838,7.13996913459448,7.13996913459448,0.4692414440214634,0.2589043378829956,0.0039376517949749,0.866594937066285,0.0724526052200176,normal_test,0.15526370704174042,0.16175080835819244,0.1658882051706314,0.17183397710323334,0.1792529970407486,0.11474960918256329,0.09495804455794835,0.08551204393721812,0.12048172352437604,0.09998672985013325,0.0899689681332934,0.12429515389943462,0.10325842732266724,0.09282924775887177,0.12931890207550928,0.1077886146483662,0.09704949111535985,0.1351178723424521,0.1133991102433505,0.1023640438150637
homography_macro__20260317_101644_tp00048.mp4__track1501__t44112_44202__00009602,D:\Embeddings_Distribution\raw_videos\20260317_101644_tp00048.mp4,20260317_101644_tp00048.mp4,1501,44112,44202,3087.826773109757,3094.126746123447,6.299973013689851,6.299973013689851,0.5585290584713221,0.384378969669342,0.0059717750674408,0.8916603681246241,0.0485353921711884,normal_test,0.15652787685394287,0.16312970221042633,0.16553498804569244,0.16865620017051697,0.174502432346344,0.13264824787052373,0.12389398929660819,0.11514975554915287,0.137102917064942,0.12822368109746862,0.11975453341478515,0.13923987354306688,0.13086325093999712,0.12293634803825573,0.1421924421897819,0.13449690509246642,0.12722178746405963,0.1469094812914292,0.13914746866797717,0.13219296123481394
homography_macro__20260315_130536_tp00036.mp4__track4692__t26640_26730__00003299,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,4692,26640,26730,1864.7612991339108,1871.0611683877416,6.2998692538308205,6.2998692538308205,0.7717006728053093,0.4920153617858886,0.0126464897758229,0.4142215969765601,0.5920301491631095,normal_test,0.15969893336296082,0.16314075887203217,0.16515883803367615,0.17219236493110657,0.18961162865161896,0.11475344503802738,0.09354057258690686,0.09049709751694537,0.11712849078744221,0.09532647057134644,0.09219180814885349,0.11858812459739324,0.09666145274435375,0.09377619204668473,0.12319446082557542,0.10029556879634559,0.0975363264898744,0.13374939735687572,0.10752428155163396,0.10394517191414812
