tubelet_id,video_path,video_id,track_id,start_frame,end_frame,start_time_sec,end_time_sec,clip_span_sec,clip_duration_sec,mean_conf,min_conf,mean_bbox_area_ratio,mean_iou,max_center_jump_ratio,split,deep_knn_score_k1,deep_knn_score_k3,deep_knn_score_k5,deep_knn_score_k10,deep_knn_score_k20,deep_knn_score_k1_gauss_s1_0,deep_knn_score_k1_gauss_s2_0,deep_knn_score_k1_gauss_s3_0,deep_knn_score_k3_gauss_s1_0,deep_knn_score_k3_gauss_s2_0,deep_knn_score_k3_gauss_s3_0,deep_knn_score_k5_gauss_s1_0,deep_knn_score_k5_gauss_s2_0,deep_knn_score_k5_gauss_s3_0,deep_knn_score_k10_gauss_s1_0,deep_knn_score_k10_gauss_s2_0,deep_knn_score_k10_gauss_s3_0,deep_knn_score_k20_gauss_s1_0,deep_knn_score_k20_gauss_s2_0,deep_knn_score_k20_gauss_s3_0
homography_macro__20260315_130536_tp00036.mp4__track100__t1008_1098__00002278,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,100,1008,1098,70.55853564290473,76.85840489673551,6.299869253830778,6.299869253830778,0.7510643266141415,0.6667391657829285,0.0146895128584995,0.8470354084379118,0.2835344160951181,normal_test,0.20988887548446655,0.21622534096240997,0.21890683472156525,0.22219666838645935,0.22539682686328888,0.20988887548446655,0.20988887548446655,0.20988887548446655,0.21622534096240997,0.21622534096240997,0.21622534096240997,0.21890683472156525,0.21890683472156525,0.21890683472156525,0.22219666838645935,0.22219666838645935,0.22219666838645935,0.22539682686328888,0.22539682686328888,0.22539682686328888
homography_macro__20260315_130536_tp00036.mp4__track6633__t39984_40086__00003523,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6633,39984,40086,2798.821913835221,2805.961765656229,7.139851821008051,7.139851821008051,0.6250341702252626,0.4655595421791076,0.0073479901918416,0.7534320507639417,0.3173758815216802,normal_test,0.2057289183139801,0.2092597931623459,0.21092315018177032,0.2158108502626419,0.22170725464820862,0.17840672897879306,0.15636798302512028,0.14385223828031618,0.18264026660283217,0.16097174153267424,0.1483417436193741,0.18478110899444636,0.16310628433898205,0.15052697322490705,0.1889934883439194,0.16697654316043162,0.15432760370829038,0.194279664615573,0.17209855905600752,0.15943185031421803
homography_macro__20260315_130536_tp00036.mp4__track6485__t39120_39210__00003471,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6485,39120,39210,2738.343168998445,2744.6430382522763,6.2998692538308205,6.2998692538308205,0.7934515252709389,0.6771810054779053,0.028802444128171,0.9560674748899116,0.0532630320978731,normal_test,0.14930616319179535,0.15190450847148895,0.1536046713590622,0.15754856169223785,0.16179604828357697,0.1440152319031648,0.13282883601807913,0.12503533719799328,0.15070195639734962,0.1441811640000295,0.1375348497018841,0.15360138335564025,0.14870472924833456,0.14254161126405898,0.15844559666019842,0.15469477784649366,0.14910261634608865,0.1635015814290603,0.1605387536332915,0.1554906384982661
homography_macro__20260315_130536_tp00036.mp4__track6476__t40032_40122__00003524,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,40032,40122,2802.181844103931,2808.4817133577617,6.2998692538308205,6.2998692538308205,0.8155859597027302,0.6914225220680237,0.0317656018834023,0.9273316708519984,0.1085058598274557,normal_test,0.08994577825069427,0.09486603736877441,0.09649285674095154,0.10192034393548965,0.10934581607580185,0.1348996868389183,0.14055837626310932,0.1361067408903863,0.13932084069070788,0.14520599451065605,0.1406855350772414,0.14106223443530758,0.1471615416904125,0.14271178424153177,0.14611445520145983,0.15166170160102965,0.1469249599796426,0.1527518873900239,0.15761107608092798,0.15258263371863556
homography_macro__20260315_130536_tp00036.mp4__track6476__t39120_39210__00003473,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,39120,39210,2738.343168998445,2744.6430382522763,6.2998692538308205,6.2998692538308205,0.7957579419016838,0.5433536171913147,0.0397349259846364,0.8052756677264928,0.2445181013480523,normal_test,0.12205473333597183,0.13496865332126617,0.13954386115074158,0.14507602155208588,0.14982402324676514,0.13305824850366463,0.13238255274171734,0.12711463166327336,0.14216606702520984,0.14304211452236043,0.13918023920980427,0.14568678518325678,0.14715657720395234,0.14387912730374922,0.15067285858782603,0.1526817795797451,0.14997861641249308,0.15534336542235916,0.15793170725170247,0.1557815523361778
homography_macro__20260315_130536_tp00036.mp4__track6633__t40128_40218__00003532,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6633,40128,40218,2808.90170464135,2815.201573895181,6.2998692538308205,6.2998692538308205,0.7153300270438194,0.5702341794967651,0.0106907815456022,0.9414123380277354,0.0961317450904912,normal_test,0.1691257655620575,0.1717694252729416,0.17320311069488525,0.17598018050193787,0.18145060539245605,0.15649165388978997,0.1406947438472546,0.1331166271707782,0.1602505519381574,0.14450000792448145,0.13694800728310713,0.16214208538217223,0.14697678232042966,0.13972861395595831,0.16596461824292125,0.15167264754585286,0.14490363205733586,0.17217806384755996,0.15834245138413178,0.15176296631384092
homography_macro__20260315_130536_tp00036.mp4__track6485__t39168_39258__00003474,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6485,39168,39258,2741.7030992671557,2748.002968520986,6.2998692538308205,6.2998692538308205,0.7135338261723518,0.4864431619644165,0.0300556399669066,0.972207548967562,0.0110327860830741,normal_test,0.13351374864578247,0.13658952713012695,0.14194174110889435,0.14692506194114685,0.1509542465209961,0.13083154542781236,0.13295211948738875,0.13010938832689048,0.13730953128821238,0.1407240771614479,0.1396709589858927,0.14209879492953037,0.14509641733944023,0.1443544986121532,0.14719342713507294,0.15029758091935908,0.15001254180344578,0.15149888669810935,0.1549820049930949,0.15521315483076142
homography_macro__20260315_130536_tp00036.mp4__track6476__t39168_39258__00003475,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6476,39168,39258,2741.7030992671557,2748.002968520986,6.2998692538308205,6.2998692538308205,0.8591886311769485,0.7803144454956055,0.0497671381911363,0.9185244687040306,0.084036867485843,normal_test,0.14007604122161865,0.14383941888809204,0.14618387818336487,0.15080921351909637,0.15704098343849182,0.13647267364519458,0.13513797820275097,0.13330873703812046,0.14069720959292464,0.1410178743587416,0.1409103247957242,0.14425049217645078,0.14478998551279154,0.14498020767787026,0.14906538209668535,0.14973673416581065,0.15025556319980027,0.15440792930471914,0.15480799942769996,0.15552585345967457
homography_macro__20260315_130536_tp00036.mp4__track6535__t39120_39210__00003472,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6535,39120,39210,2738.343168998445,2744.6430382522763,6.2998692538308205,6.2998692538308205,0.7690038438886404,0.4329449534416199,0.0305898807750272,0.8394539645416285,0.2109744381508918,normal_test,0.1435180902481079,0.15212662518024445,0.1555607169866562,0.16080595552921295,0.16652517020702362,0.12948124368071465,0.12041353127427032,0.11457837541113103,0.14502327164155687,0.13660209516110855,0.1299227131733695,0.1506769762886626,0.14279169952030352,0.13593249271117397,0.15752468506073897,0.1500388734840249,0.14342543016478,0.16404247588641063,0.15686723067310465,0.15063418698603936
homography_macro__20260315_130536_tp00036.mp4__track6485__t39360_39450__00003486,D:\Embeddings_Distribution\raw_videos\20260315_130536_tp00036.mp4,20260315_130536_tp00036.mp4,6485,39360,39450,2755.142820341994,2761.442689595825,6.2998692538308205,6.2998692538308205,0.8800821416079998,0.8251199722290039,0.0338254505564826,0.9212938994903817,0.0506987853318974,normal_test,0.147197425365448,0.14902369678020477,0.15052224695682526,0.15467879176139832,0.15958961844444275,0.1392608931113183,0.13691321312359386,0.13458641143385316,0.14204961343867367,0.1402819589480347,0.1378188880777994,0.14386947286125054,0.14234881638519137,0.13991195874045936,0.1474462019387408,0.1459569747483706,0.14368221056925568,0.15173116405074102,0.15027471828478156,0.14821018745828912
