2026/06/18 14:58:18.448, NVIDIA GeForce RTX 5090 Laptop GPU, 20 %, 14554 MiB, 24463 MiB, 46, 8.48 W
===== GPU BOARD 2026-06-18 14:58:20 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:20.503, NVIDIA GeForce RTX 5090 Laptop GPU, 6 %, 14554 MiB, 24463 MiB, 46, 8.47 W
===== GPU BOARD 2026-06-18 14:58:22 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:22.561, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 46, 8.78 W
===== GPU BOARD 2026-06-18 14:58:24 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:24.624, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 46, 8.61 W
===== GPU BOARD 2026-06-18 14:58:26 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:26.687, NVIDIA GeForce RTX 5090 Laptop GPU, 31 %, 14554 MiB, 24463 MiB, 46, 8.79 W
===== GPU BOARD 2026-06-18 14:58:28 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:28.750, NVIDIA GeForce RTX 5090 Laptop GPU, 6 %, 14554 MiB, 24463 MiB, 46, 8.61 W
===== GPU BOARD 2026-06-18 14:58:30 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:30.814, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 46, 8.53 W
===== GPU BOARD 2026-06-18 14:58:32 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:32.878, NVIDIA GeForce RTX 5090 Laptop GPU, 24 %, 14554 MiB, 24463 MiB, 46, 8.82 W
===== GPU BOARD 2026-06-18 14:58:34 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:34.942, NVIDIA GeForce RTX 5090 Laptop GPU, 12 %, 14554 MiB, 24463 MiB, 46, 9.02 W
===== GPU BOARD 2026-06-18 14:58:36 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:37.011, NVIDIA GeForce RTX 5090 Laptop GPU, 22 %, 14554 MiB, 24463 MiB, 46, 8.38 W
===== GPU BOARD 2026-06-18 14:58:39 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:39.070, NVIDIA GeForce RTX 5090 Laptop GPU, 30 %, 14554 MiB, 24463 MiB, 46, 8.68 W
===== GPU BOARD 2026-06-18 14:58:41 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:41.128, NVIDIA GeForce RTX 5090 Laptop GPU, 0 %, 14554 MiB, 24463 MiB, 46, 8.32 W
===== GPU BOARD 2026-06-18 14:58:43 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:43.193, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 46, 10.38 W
===== GPU BOARD 2026-06-18 14:58:45 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:45.256, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 46, 10.68 W
===== GPU BOARD 2026-06-18 14:58:47 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:47.322, NVIDIA GeForce RTX 5090 Laptop GPU, 12 %, 14554 MiB, 24463 MiB, 46, 8.68 W
===== GPU BOARD 2026-06-18 14:58:49 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:49.380, NVIDIA GeForce RTX 5090 Laptop GPU, 29 %, 14554 MiB, 24463 MiB, 46, 8.80 W
===== GPU BOARD 2026-06-18 14:58:51 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:51.438, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 7.28 W
===== GPU BOARD 2026-06-18 14:58:53 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:53.505, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 9.70 W
===== GPU BOARD 2026-06-18 14:58:55 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:55.567, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 6.90 W
===== GPU BOARD 2026-06-18 14:58:57 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:57.634, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14554 MiB, 24463 MiB, 45, 8.54 W
===== GPU BOARD 2026-06-18 14:58:59 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:58:59.691, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14554 MiB, 24463 MiB, 45, 8.66 W
===== GPU BOARD 2026-06-18 14:59:01 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:01.747, NVIDIA GeForce RTX 5090 Laptop GPU, 22 %, 14556 MiB, 24463 MiB, 45, 8.76 W
===== GPU BOARD 2026-06-18 14:59:03 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:03.811, NVIDIA GeForce RTX 5090 Laptop GPU, 11 %, 14557 MiB, 24463 MiB, 45, 13.10 W
===== GPU BOARD 2026-06-18 14:59:05 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:05.877, NVIDIA GeForce RTX 5090 Laptop GPU, 15 %, 14563 MiB, 24463 MiB, 46, 12.43 W
===== GPU BOARD 2026-06-18 14:59:07 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:07.939, NVIDIA GeForce RTX 5090 Laptop GPU, 12 %, 14559 MiB, 24463 MiB, 46, 15.98 W
===== GPU BOARD 2026-06-18 14:59:09 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:10.000, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14558 MiB, 24463 MiB, 46, 10.55 W
===== GPU BOARD 2026-06-18 14:59:12 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:12.064, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14558 MiB, 24463 MiB, 46, 8.93 W
===== GPU BOARD 2026-06-18 14:59:14 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:14.124, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14558 MiB, 24463 MiB, 46, 8.94 W
===== GPU BOARD 2026-06-18 14:59:16 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:16.185, NVIDIA GeForce RTX 5090 Laptop GPU, 27 %, 14558 MiB, 24463 MiB, 46, 8.91 W
===== GPU BOARD 2026-06-18 14:59:18 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:18.250, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14558 MiB, 24463 MiB, 46, 9.12 W
===== GPU BOARD 2026-06-18 14:59:20 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:20.319, NVIDIA GeForce RTX 5090 Laptop GPU, 11 %, 14558 MiB, 24463 MiB, 46, 8.80 W
===== GPU BOARD 2026-06-18 14:59:22 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:22.379, NVIDIA GeForce RTX 5090 Laptop GPU, 18 %, 14558 MiB, 24463 MiB, 46, 8.94 W
===== GPU BOARD 2026-06-18 14:59:24 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:24.442, NVIDIA GeForce RTX 5090 Laptop GPU, 25 %, 14558 MiB, 24463 MiB, 46, 10.01 W
===== GPU BOARD 2026-06-18 14:59:26 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:26.502, NVIDIA GeForce RTX 5090 Laptop GPU, 24 %, 14558 MiB, 24463 MiB, 45, 4.88 W
===== GPU BOARD 2026-06-18 14:59:28 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:28.570, NVIDIA GeForce RTX 5090 Laptop GPU, 26 %, 14558 MiB, 24463 MiB, 45, 8.99 W
===== GPU BOARD 2026-06-18 14:59:30 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:30.632, NVIDIA GeForce RTX 5090 Laptop GPU, 13 %, 14558 MiB, 24463 MiB, 45, 9.59 W
===== GPU BOARD 2026-06-18 14:59:32 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:32.696, NVIDIA GeForce RTX 5090 Laptop GPU, 23 %, 14558 MiB, 24463 MiB, 46, 8.90 W
===== GPU BOARD 2026-06-18 14:59:34 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:34.774, NVIDIA GeForce RTX 5090 Laptop GPU, 3 %, 14558 MiB, 24463 MiB, 45, 9.75 W
===== GPU BOARD 2026-06-18 14:59:36 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:36.846, NVIDIA GeForce RTX 5090 Laptop GPU, 7 %, 14558 MiB, 24463 MiB, 46, 15.27 W
===== GPU BOARD 2026-06-18 14:59:38 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:38.909, NVIDIA GeForce RTX 5090 Laptop GPU, 4 %, 14558 MiB, 24463 MiB, 46, 13.68 W
===== GPU BOARD 2026-06-18 14:59:40 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/06/18 14:59:40.965, NVIDIA GeForce RTX 5090 Laptop GPU, 92 %, 14558 MiB, 24463 MiB, 49, 43.26 W
===== GPU BOARD 2026-06-18 14:59:42 =====
timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
