components,train_avg_log_likelihood,bic,aic,converged,n_iter,warnings
1,-7.9546385486807285,192640.34045054365,192381.3415529053,True,2,
2,-1.8358257283647839,45050.32057272764,44524.92280894701,True,16,
3,1.4014698732174242,-32876.13902498152,-33667.935654904446,True,27,
5,2.113158384676419,-49405.12274572959,-50729.717107937104,True,54,
8,2.396951847248501,-55250.91689844538,-57374.70785907977,True,58,
10,2.725020740359638,-62505.51272601563,-65162.1014189346,True,53,
