tubelet_id,video_path,video_id,track_id,start_frame,end_frame,start_time_sec,end_time_sec,clip_span_sec,clip_duration_sec,mean_conf,min_conf,mean_bbox_area_ratio,mean_iou,max_center_jump_ratio,split,deep_knn_score_k1,deep_knn_score_k3,deep_knn_score_k5,deep_knn_score_k10,deep_knn_score_k20
homography_macro__20260315_093203_tp00034.mp4__track1__t0_90__00000000,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,1,0,90,0.0,6.299972570897257,6.299972570897257,6.299972570897257,0.848683089017868,0.819629967212677,0.0487335779076992,0.9087595082254368,0.0714892628179052,calibration,0.07236608117818832,0.07526498287916183,0.07888474315404892,0.08438234776258469,0.09294940531253815
homography_macro__20260315_093203_tp00034.mp4__track2__t0_90__00000001,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,2,0,90,0.0,6.299972570897257,6.299972570897257,6.299972570897257,0.7334020920097828,0.5712955594062805,0.0337994461555181,0.938538106737222,0.0313915128682819,calibration,0.0688239261507988,0.06993627548217773,0.0710078701376915,0.07237875461578369,0.07391306757926941
homography_macro__20260315_093203_tp00034.mp4__track3__t0_90__00000002,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,3,0,90,0.0,6.299972570897257,6.299972570897257,6.299972570897257,0.5998506434261799,0.5271928906440735,0.0269577604236035,0.902523597567404,0.0568987662600362,calibration,0.05559359863400459,0.05597613379359245,0.056674372404813766,0.05850120261311531,0.060942165553569794
homography_macro__20260315_093203_tp00034.mp4__track1__t48_138__00000003,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,1,48,138,3.359985371145204,9.65995794204246,6.299972570897257,6.299972570897257,0.8298963978886604,0.8146106004714966,0.0419212244615339,0.9225130910548148,0.0714892628179052,calibration,0.06970369070768356,0.07313495129346848,0.07541466504335403,0.0807017832994461,0.08857445418834686
homography_macro__20260315_093203_tp00034.mp4__track2__t48_138__00000004,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,2,48,138,3.359985371145204,9.65995794204246,6.299972570897257,6.299972570897257,0.7408729512244463,0.450064867734909,0.0356536088677793,0.9121284440734744,0.0995255748582517,calibration,0.06141878664493561,0.06193447485566139,0.062443532049655914,0.06355802714824677,0.06532267481088638
homography_macro__20260315_093203_tp00034.mp4__track1__t96_186__00000005,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,1,96,186,6.719970742290408,13.019943313187666,6.299972570897258,6.299972570897258,0.8556422553956509,0.8146106004714966,0.0397388459962364,0.8432707431636383,0.1042676627493408,calibration,0.06305117160081863,0.07169817388057709,0.07546354085206985,0.08168794214725494,0.09006074070930481
homography_macro__20260315_093203_tp00034.mp4__track2__t96_186__00000006,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,2,96,186,6.719970742290408,13.019943313187666,6.299972570897258,6.299972570897258,0.6589416619390249,0.3847563862800598,0.0344810251004458,0.8583285781426809,0.1294250842535876,calibration,0.06357743591070175,0.06482025980949402,0.06638414412736893,0.06901030242443085,0.07173105329275131
homography_macro__20260315_093203_tp00034.mp4__track1__t144_234__00000007,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,1,144,234,10.079956113435612,16.379928684332867,6.299972570897255,6.299972570897255,0.8899969607591629,0.8308952450752258,0.0418583287070264,0.7563040350214775,0.1085683665520963,calibration,0.06461279839277267,0.08161039650440216,0.0869755893945694,0.09331275522708893,0.09970789402723312
homography_macro__20260315_093203_tp00034.mp4__track2__t144_240__00000008,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,2,144,240,10.079956113435612,16.79992685572602,6.719970742290409,6.719970742290409,0.6628624200820923,0.3847563862800598,0.0341035188620579,0.896989299388327,0.0895559015666289,calibration,0.06495864689350128,0.06756019592285156,0.0690624937415123,0.07191886007785797,0.0746140256524086
homography_macro__20260315_093203_tp00034.mp4__track3__t192_282__00000009,D:\Embeddings_Distribution\raw_videos\20260315_093203_tp00034.mp4,20260315_093203_tp00034.mp4,3,192,282,13.439941484580816,19.73991405547807,6.299972570897255,6.299972570897255,0.5037151109427214,0.4400320053100586,0.0228419749496833,0.8941100387495677,0.0590667092192011,calibration,0.05298751965165138,0.054013919085264206,0.055102311074733734,0.05676006153225899,0.059394340962171555
