tubelet_id,video_id,track_id,start_time_sec,end_time_sec,pose_score,pose_score_smooth,pose_hit_raw,pose_hit_smooth,pose_persistent_hit,pose_valid_frame_ratio,pose_mean_keypoint_conf,pose_valid_keypoint_ratio_mean,pose_wrist_speed_p95,pose_ankle_speed_p95,pose_limb_speed_p95,pose_limb_accel_p95,pose_body_angle_change_p95,pose_crouch_change_p95,pose_arm_extension_change_p95,pose_asymmetry_motion_p95
pose__20260316_113834_tp00042.mp4__track5__t234_303__00011198,20260316_113834_tp00042.mp4,5,16.379841868402533,21.209795239854564,1215.3087087639024,270.12849694075425,True,True,True,0.875,0.7209230661392212,0.3112744987010956,6.335115909576416,0.0,6.325496673583984,31.0235538482666,0.0,0.0,0.581227719783783,0.0
pose__20260315_130536_tp00036.mp4__track6630__t39942_40011__00008289,20260315_130536_tp00036.mp4,6630,2795.8819748501,2800.71187461137,208.29571567642003,208.29571567642003,True,True,False,1.0,0.7610719799995422,0.36764705181121826,1.8990790843963623,0.0,1.8990790843963623,0.0,0.0,0.0,1.4012662172317505,1.5813274383544922
pose__20260316_113834_tp00042.mp4__track2076__t10548_10617__00011939,20260316_113834_tp00042.mp4,2076,738.352871914145,743.182825285597,181.15914037499536,58.84897356380775,True,True,True,1.0,0.8226270079612732,0.4803921580314636,0.39221957325935364,0.0,0.331682413816452,1.6200175285339355,0.0,0.0,0.3227140009403229,1.9312046766281128
pose__20260315_130536_tp00036.mp4__track100__t1026_1095__00005454,20260315_130536_tp00036.mp4,100,71.81850949367089,76.64840925494116,164.71744542134573,70.03265766382931,True,True,True,1.0,0.9263694286346436,0.9313725233078003,0.8371981978416443,2.7816076278686523,3.306709051132202,4.682456970214844,0.9204469323158264,0.09977305680513382,0.29780495166778564,0.2682455778121948
pose__20260315_104219_tp00035.mp4__track134__t2394_2463__00003121,20260315_104219_tp00035.mp4,134,167.58009891056167,172.41010176136734,129.373580700169,49.913741286188774,True,False,True,1.0,0.7905433773994446,0.3799019753932953,1.4631843566894531,0.0,1.4380921125411987,1.5076533555984497,0.0,0.0,1.6627171039581299,0.0
pose__20260315_130536_tp00036.mp4__track2523__t14742_14811__00006909,20260315_130536_tp00036.mp4,2523,1031.9185837774817,1036.748483538752,129.15136587312657,73.80046634657239,True,True,False,1.0,0.8078999519348145,0.9338235259056091,1.1760220527648926,0.9655633568763733,1.0922774076461792,5.998663902282715,2.9301671981811523,0.14369820058345795,0.5256999731063843,3.6545162200927734
pose__20260315_130536_tp00036.mp4__track6485__t39762_39831__00008264,20260315_130536_tp00036.mp4,6485,2783.2822363424384,2788.1121361037085,126.28734961451636,78.44802111111332,True,True,False,0.9583333134651184,0.7741289734840393,0.45098039507865906,2.2284443378448486,0.0,2.46988582611084,9.773334503173828,0.5204641819000244,0.08297839760780334,0.7820024490356445,4.824021339416504
pose__20260315_130536_tp00036.mp4__track2523__t14760_14829__00006912,20260315_130536_tp00036.mp4,2523,1033.1785576282475,1038.008457389518,125.69339310484645,87.32484956435394,True,True,False,1.0,0.7695221304893494,0.9166666865348816,1.8249802589416504,0.9655633568763733,1.639509677886963,11.468835830688477,2.925720453262329,0.14321349561214447,0.606824517250061,3.6545162200927734
pose__20260315_130536_tp00036.mp4__track3559__t22788_22857__00007566,20260315_130536_tp00036.mp4,3559,1595.1268950699534,1599.9567948312238,123.94787299409005,46.7743084688554,True,False,False,1.0,0.7749574184417725,0.36764705181121826,1.79705011844635,0.0,1.2790279388427734,0.7981933951377869,0.0,0.0,0.10987706482410431,1.056066870689392
pose__20260315_130536_tp00036.mp4__track100__t1008_1077__00005453,20260315_130536_tp00036.mp4,100,70.55853564290473,75.388435404175,121.25380574396488,94.33319441327669,True,True,False,1.0,0.9008420705795288,0.9191176295280457,0.7027696967124939,1.1911113262176514,0.9956101179122925,6.0778632164001465,0.9405451416969299,0.06452617794275284,0.29988396167755127,0.26935186982154846
